开始统计文件行数...

0it [00:00, ?it/s]
3886it [00:00, 38854.85it/s]
648739it [00:16, 37482.74it/s]
652570it [00:17, 37727.43it/s]
656515it [00:17, 38240.25it/s]
660468it [00:17, 38622.28it/s]
664338it [00:17, 38624.17it/s]
668206it [00:17, 38629.12it/s]
672164it [00:17, 38906.63it/s]
676058it [00:17, 38191.45it/s]
679882it [00:17, 38173.36it/s]
683714it [00:17, 38214.30it/s]
687538it [00:17, 37936.37it/s]
691345it [00:18, 37975.30it/s]
695144it [00:18, 37892.71it/s]
698935it [00:18, 37870.30it/s]
702937it [00:18, 38504.52it/s]
706880it [00:18, 38779.57it/s]
710897it [00:18, 39191.95it/s]
714817it [00:18, 38823.66it/s]
718707it [00:18, 38845.89it/s]
722611it [00:18, 38902.32it/s]
726547it [00:18, 39038.09it/s]
730508it [00:19, 39208.49it/s]
734430it [00:19, 38880.89it/s]
738339it [00:19, 38932.01it/s]
742301it [00:19, 39132.08it/s]
746215it [00:19, 39084.03it/s]
750124it [00:19, 32792.58it/s]
753575it [00:19, 28648.89it/s]
756634it [00:19, 26092.27it/s]
759398it [00:20, 24563.71it/s]
761960it [00:20, 23322.61it/s]
764360it [00:20, 22652.15it/s]
766666it [00:20, 22181.87it/s]
768908it [00:20, 21740.69it/s]
771095it [00:20, 21310.47it/s]
773232it [00:20, 21066.88it/s]
775341it [00:20, 21066.44it/s]
777455it [00:20, 21085.89it/s]
782663it [00:21, 30011.52it/s]
787806it [00:21, 36253.52it/s]
792969it [00:21, 40771.56it/s]
798246it [00:21, 44317.51it/s]
803291it [00:21, 46137.48it/s]
808509it [00:21, 47935.84it/s]
813716it [00:21, 49161.81it/s]
818887it [00:21, 49921.44it/s]
824103it [00:21, 50590.08it/s]
829349it [00:21, 51144.11it/s]
834554it [00:22, 51414.35it/s]
839700it [00:22, 50218.17it/s]
844731it [00:22, 49112.95it/s]
849776it [00:22, 49501.75it/s]
854735it [00:22, 47899.10it/s]
859540it [00:22, 45540.41it/s]
864122it [00:22, 44832.01it/s]
868624it [00:22, 37159.91it/s]
872554it [00:22, 33694.17it/s]
876106it [00:23, 32874.52it/s]
879670it [00:23, 33564.51it/s]
883621it [00:23, 35129.17it/s]
887286it [00:23, 35542.93it/s]
891808it [00:23, 38259.47it/s]
896317it [00:23, 40214.34it/s]
900892it [00:23, 41820.54it/s]
905373it [00:23, 42696.51it/s]
909878it [00:23, 43390.78it/s]
914242it [00:24, 32034.80it/s]
917891it [00:24, 12830.35it/s]
920589it [00:25, 7777.21it/s] 
922574it [00:25, 8494.35it/s]
925765it [00:25, 10881.43it/s]
929165it [00:26, 13820.24it/s]
933290it [00:26, 18036.02it/s]
937190it [00:26, 21809.52it/s]
941088it [00:26, 25321.76it/s]
945150it [00:26, 28780.17it/s]
948997it [00:26, 31145.12it/s]
952988it [00:26, 33410.55it/s]
956925it [00:26, 35017.38it/s]
960867it [00:26, 36240.08it/s]
964736it [00:26, 36878.19it/s]
968666it [00:27, 37576.05it/s]
972549it [00:27, 37782.08it/s]
976570it [00:27, 38490.09it/s]
980738it [00:27, 39431.67it/s]
984727it [00:27, 39333.44it/s]
988693it [00:27, 38262.46it/s]
992548it [00:27, 38260.48it/s]
996557it [00:27, 38795.45it/s]
1000452it [00:27, 38789.10it/s]
1004427it [00:27, 39072.18it/s]
1008342it [00:28, 39094.01it/s]
1012257it [00:28, 38922.69it/s]
1016154it [00:28, 36475.16it/s]
1019835it [00:28, 34144.25it/s]
1023296it [00:28, 31913.40it/s]
1026537it [00:28, 30322.16it/s]
1029608it [00:28, 29666.18it/s]
1032598it [00:28, 29122.54it/s]
1035801it [00:28, 29920.21it/s]
1038842it [00:29, 30057.29it/s]
1041861it [00:29, 29632.47it/s]
1044833it [00:29, 28498.61it/s]
1047695it [00:29, 27471.24it/s]
1050454it [00:29, 26585.37it/s]
1053122it [00:29, 25375.95it/s]
1055671it [00:29, 24384.98it/s]
1058119it [00:29, 23786.16it/s]
1060577it [00:29, 24005.16it/s]
1063037it [00:30, 24173.23it/s]
1065494it [00:30, 24283.14it/s]
1067936it [00:30, 24322.51it/s]
1070372it [00:30, 24119.13it/s]
1072786it [00:30, 23882.83it/s]
1075226it [00:30, 24029.98it/s]
1077764it [00:30, 24427.58it/s]
1080299it [00:30, 24700.69it/s]
1082865it [00:30, 24984.66it/s]
1085989it [00:30, 26850.13it/s]
1089154it [00:31, 28283.76it/s]
1092138it [00:31, 28748.55it/s]
1095015it [00:31, 28271.62it/s]
1097845it [00:31, 28112.16it/s]
1100687it [00:31, 28201.69it/s]
1103509it [00:31, 25615.06it/s]
1107934it [00:31, 30790.16it/s]
1111085it [00:31, 30235.50it/s]
1114160it [00:32, 18598.31it/s]
1116598it [00:32, 15831.41it/s]
1118630it [00:32, 15487.73it/s]
1120485it [00:32, 15007.72it/s]
1122191it [00:32, 15418.11it/s]
1123935it [00:32, 15881.15it/s]
1125651it [00:32, 15966.44it/s]
1127339it [00:33, 15501.19it/s]
1128951it [00:33, 15187.88it/s]
1130512it [00:33, 15069.56it/s]
1132047it [00:33, 14971.53it/s]
1133563it [00:33, 14270.88it/s]
1135018it [00:33, 14344.88it/s]
1136465it [00:33, 14204.02it/s]
1137911it [00:33, 14273.63it/s]
1139345it [00:33, 14221.71it/s]
1140865it [00:34, 14492.03it/s]
1142318it [00:34, 12954.15it/s]
1143645it [00:34, 10693.91it/s]
1144795it [00:34, 9543.00it/s] 
1145818it [00:34, 8942.02it/s]
1146759it [00:34, 8026.90it/s]
1147600it [00:34, 8051.32it/s]
1148729it [00:35, 8844.00it/s]
1149787it [00:35, 9292.17it/s]
1150750it [00:35, 9331.46it/s]
1151707it [00:35, 9219.71it/s]
1152646it [00:35, 9179.85it/s]
1153576it [00:35, 9064.67it/s]
1154550it [00:35, 9257.06it/s]
1155748it [00:35, 10036.81it/s]
1156968it [00:35, 10668.62it/s]
1158198it [00:35, 11140.13it/s]
1159431it [00:36, 11473.91it/s]
1160699it [00:36, 11830.73it/s]
1161886it [00:36, 11519.26it/s]
1163042it [00:36, 11398.95it/s]
1164185it [00:36, 11194.79it/s]
1165307it [00:36, 10831.42it/s]
1166394it [00:36, 10684.18it/s]
1167527it [00:36, 10868.27it/s]
1168771it [00:36, 11322.82it/s]
1170098it [00:36, 11894.49it/s]
1171291it [00:37, 11870.79it/s]
1172481it [00:37, 11394.74it/s]
1173626it [00:37, 11243.46it/s]
1174765it [00:37, 11281.15it/s]
1175951it [00:37, 11433.14it/s]
1177100it [00:37, 11449.32it/s]
1178247it [00:37, 11426.96it/s]
1179391it [00:37, 11139.78it/s]
1180624it [00:37, 11482.22it/s]
1182087it [00:37, 12408.24it/s]
1183332it [00:38, 12333.77it/s]
1184568it [00:38, 11401.82it/s]
1185724it [00:38, 10937.37it/s]
1186831it [00:38, 10660.99it/s]
1187906it [00:38, 10516.67it/s]
1188963it [00:38, 10344.76it/s]
1190001it [00:38, 10217.03it/s]
1191132it [00:38, 10522.66it/s]
1192336it [00:38, 10960.81it/s]
1193436it [00:39, 10547.50it/s]
1194496it [00:39, 9979.02it/s] 
1195503it [00:39, 9936.01it/s]
1197375it [00:39, 12425.64it/s]
1199534it [00:39, 15057.59it/s]
1201775it [00:39, 17190.61it/s]
1203517it [00:39, 14352.05it/s]
1205046it [00:39, 11573.86it/s]
1206345it [00:40, 10016.80it/s]
1207467it [00:40, 9286.04it/s] 
1208478it [00:40, 8725.99it/s]
1209404it [00:40, 8298.46it/s]
1210267it [00:40, 7998.47it/s]
1211086it [00:40, 7810.45it/s]
1211878it [00:40, 7716.58it/s]
1212656it [00:41, 7450.06it/s]
1213404it [00:41, 7270.86it/s]
1214221it [00:41, 7504.01it/s]
1215621it [00:41, 9293.14it/s]
1217169it [00:41, 11038.39it/s]
1218643it [00:41, 12096.38it/s]
1219904it [00:41, 12230.37it/s]
1221142it [00:41, 12168.45it/s]
1222369it [00:41, 10811.79it/s]
1223484it [00:42, 10240.93it/s]
1224535it [00:42, 9713.16it/s] 
1225527it [00:42, 9389.60it/s]
1226480it [00:42, 9154.57it/s]
1227404it [00:42, 8951.02it/s]
1228304it [00:42, 8920.10it/s]
1229200it [00:42, 8796.68it/s]
1230082it [00:42, 8673.09it/s]
1230951it [00:42, 8667.52it/s]
1231846it [00:42, 8739.42it/s]
1232762it [00:43, 8851.83it/s]
1233660it [00:43, 8879.63it/s]
1234549it [00:43, 8687.51it/s]
1235419it [00:43, 8480.36it/s]
1236320it [00:43, 8632.59it/s]
1237227it [00:43, 8759.86it/s]
1238353it [00:43, 9496.47it/s]
1239502it [00:43, 10085.57it/s]
1240546it [00:43, 10188.28it/s]
1241567it [00:44, 10093.09it/s]
1242578it [00:44, 9854.45it/s] 
1243566it [00:44, 9580.97it/s]
1244527it [00:44, 9511.89it/s]
1245480it [00:44, 9412.36it/s]
1246423it [00:44, 9148.41it/s]
1247340it [00:44, 8967.30it/s]
1248239it [00:44, 8870.75it/s]
1249127it [00:44, 8698.84it/s]
1249998it [00:44, 8558.82it/s]
1250855it [00:45, 7115.99it/s]
1251606it [00:45, 6272.65it/s]
1252273it [00:45, 5867.13it/s]
1252888it [00:45, 5516.48it/s]
1253459it [00:45, 5521.62it/s]
1254025it [00:45, 5313.43it/s]
1254603it [00:45, 5427.67it/s]
1255199it [00:45, 5570.24it/s]
1255808it [00:46, 5714.67it/s]
1256386it [00:46, 5602.92it/s]
1256951it [00:46, 5463.26it/s]
1257854it [00:46, 6472.46it/s]
1258807it [00:46, 7352.62it/s]
1259709it [00:46, 7825.78it/s]
1260508it [00:46, 7864.63it/s]
1261302it [00:46, 7886.80it/s]
1262252it [00:46, 8351.53it/s]
1263091it [00:47, 8143.82it/s]
1263909it [00:47, 8114.90it/s]
1264723it [00:47, 7496.18it/s]
1265815it [00:47, 8448.01it/s]
1267038it [00:47, 9525.07it/s]
1268258it [00:47, 10298.56it/s]
1269524it [00:47, 10976.70it/s]
1270689it [00:47, 11173.31it/s]
1271826it [00:47, 11216.18it/s]
1273138it [00:47, 11781.34it/s]
1274577it [00:48, 12541.13it/s]
1276077it [00:48, 13266.71it/s]
1277641it [00:48, 13954.43it/s]
1279066it [00:48, 14021.36it/s]
1280533it [00:48, 14214.56it/s]
1281956it [00:48, 13793.02it/s]
1283339it [00:48, 13064.42it/s]
1284655it [00:48, 12141.06it/s]
1285886it [00:48, 11250.55it/s]
1287031it [00:49, 10560.43it/s]
1288191it [00:49, 10830.38it/s]
1289559it [00:49, 11601.09it/s]
1290951it [00:49, 12247.78it/s]
1292327it [00:49, 12679.17it/s]
1293918it [00:49, 13613.98it/s]
1295545it [00:49, 14376.61it/s]
1296994it [00:49, 13864.89it/s]
1298392it [00:49, 13265.25it/s]
1299731it [00:49, 13147.84it/s]
1301054it [00:50, 12985.57it/s]
1302358it [00:50, 12285.60it/s]
1303596it [00:50, 12090.68it/s]
1304876it [00:50, 12289.36it/s]
1306156it [00:50, 12421.50it/s]
1307426it [00:50, 12501.58it/s]
1308807it [00:50, 12875.40it/s]
1310216it [00:50, 13233.37it/s]
1311897it [00:50, 14282.83it/s]
1313329it [00:51, 14184.57it/s]
1314750it [00:51, 13398.15it/s]
1316100it [00:51, 12918.04it/s]
1317401it [00:51, 12622.08it/s]
1318688it [00:51, 12691.07it/s]
1320168it [00:51, 13294.60it/s]
1321504it [00:51, 13097.31it/s]
1322819it [00:51, 12954.42it/s]
1324347it [00:51, 13629.28it/s]
1325900it [00:51, 14180.02it/s]
1327323it [00:52, 13741.83it/s]
1328703it [00:52, 13329.30it/s]
1330042it [00:52, 11147.80it/s]
1331217it [00:52, 10031.02it/s]
1332275it [00:52, 9457.22it/s] 
1333259it [00:52, 8969.41it/s]
1334181it [00:52, 8602.10it/s]
1335057it [00:53, 8257.24it/s]
1335892it [00:53, 7858.23it/s]
1336684it [00:53, 7635.80it/s]
1337450it [00:53, 7601.72it/s]
1338212it [00:53, 7571.94it/s]
1338970it [00:53, 7498.07it/s]
1339720it [00:53, 7402.06it/s]
1340460it [00:53, 7335.10it/s]
1341400it [00:53, 7923.73it/s]
1342433it [00:53, 8623.43it/s]
1343407it [00:54, 8944.05it/s]
1344378it [00:54, 9159.05it/s]
1345297it [00:54, 8820.93it/s]
1346184it [00:54, 8407.15it/s]
1347031it [00:54, 8050.62it/s]
1347842it [00:54, 7892.65it/s]
1348635it [00:54, 7642.82it/s]
1349459it [00:54, 7802.64it/s]
1350479it [00:54, 8482.89it/s]
1351563it [00:55, 9163.98it/s]
1352487it [00:55, 9002.19it/s]
1353470it [00:55, 9241.93it/s]
1354399it [00:55, 8976.86it/s]
1355301it [00:55, 8408.67it/s]
1356151it [00:55, 8198.56it/s]
1356977it [00:55, 8159.72it/s]
1357798it [00:55, 8046.46it/s]
1358729it [00:55, 8405.31it/s]
1359682it [00:55, 8725.48it/s]
1360708it [00:56, 9169.85it/s]
1361629it [00:56, 8703.19it/s]
1362781it [00:56, 9503.38it/s]
1363979it [00:56, 10216.98it/s]
1365165it [00:56, 10687.59it/s]
1366376it [00:56, 11087.67it/s]
1367662it [00:56, 11611.43it/s]
1368992it [00:56, 12110.80it/s]
1370235it [00:56, 12189.92it/s]
1371552it [00:57, 12466.16it/s]
1372801it [00:57, 12295.65it/s]
1374033it [00:57, 12178.45it/s]
1375264it [00:57, 12198.61it/s]
1376485it [00:57, 11971.83it/s]
1377684it [00:57, 11497.48it/s]
1378838it [00:57, 10723.39it/s]
1379922it [00:57, 9839.63it/s] 
1380924it [00:57, 9160.45it/s]
1381857it [00:58, 8583.94it/s]
1382729it [00:58, 8230.11it/s]
1383561it [00:58, 8027.39it/s]
1384369it [00:58, 7471.91it/s]
1385123it [00:58, 7217.00it/s]
1385848it [00:58, 7035.18it/s]
1386553it [00:58, 6727.13it/s]
1387227it [00:58, 6616.43it/s]
1387889it [00:58, 6569.17it/s]
1388546it [00:59, 6438.93it/s]
1389190it [00:59, 6317.91it/s]
1389822it [00:59, 6274.85it/s]
1390507it [00:59, 6439.48it/s]
1391179it [00:59, 6515.95it/s]
1391832it [00:59, 6488.49it/s]
1392496it [00:59, 6524.12it/s]
1393149it [00:59, 6419.03it/s]
1393908it [00:59, 6754.56it/s]
1394727it [01:00, 7168.93it/s]
1395543it [01:00, 7450.85it/s]
1396330it [01:00, 7575.17it/s]
1397089it [01:00, 7452.41it/s]
1397836it [01:00, 7212.50it/s]
1398560it [01:00, 6834.50it/s]
1399249it [01:00, 6613.29it/s]
1400176it [01:00, 7346.20it/s]
1401095it [01:00, 7864.29it/s]
1401925it [01:00, 7984.29it/s]
1402766it [01:01, 8105.92it/s]
1403582it [01:01, 8040.75it/s]
1404514it [01:01, 8416.71it/s]
1405409it [01:01, 8570.08it/s]
1406269it [01:01, 8217.00it/s]
1407096it [01:01, 7958.36it/s]
1407897it [01:01, 7380.35it/s]
1408645it [01:01, 7140.06it/s]
1409366it [01:01, 6921.38it/s]
1410063it [01:02, 6934.04it/s]
1410818it [01:02, 7095.96it/s]
1411584it [01:02, 7257.33it/s]
1412624it [01:02, 8168.22it/s]
1413605it [01:02, 8643.42it/s]
1414531it [01:02, 8821.84it/s]
1415442it [01:02, 8900.38it/s]
1416335it [01:02, 8852.96it/s]
1417223it [01:02, 8301.38it/s]
1418062it [01:02, 8025.12it/s]
1418871it [01:03, 7850.46it/s]
1419661it [01:03, 7629.69it/s]
1420428it [01:03, 7280.88it/s]
1421161it [01:03, 6977.74it/s]
1421863it [01:03, 6780.77it/s]
1422544it [01:03, 6695.38it/s]
1423226it [01:03, 6725.93it/s]
1424044it [01:03, 7140.58it/s]
1424780it [01:03, 7203.63it/s]
1425539it [01:04, 7315.88it/s]
1426288it [01:04, 7359.27it/s]
1427026it [01:04, 7024.59it/s]
1427733it [01:04, 6839.36it/s]
1428421it [01:04, 6820.35it/s]
1429134it [01:04, 6907.89it/s]
1429827it [01:04, 6806.52it/s]
1430510it [01:04, 6637.10it/s]
1431249it [01:04, 6854.03it/s]
1431954it [01:04, 6908.36it/s]
1432654it [01:05, 6930.22it/s]
1433378it [01:05, 7021.32it/s]
1434082it [01:05, 6918.73it/s]
1434775it [01:05, 6705.18it/s]
1435448it [01:05, 6531.28it/s]
1436103it [01:05, 6458.01it/s]
1436750it [01:05, 6392.80it/s]
1437390it [01:05, 6381.89it/s]
1438029it [01:05, 6172.40it/s]
1438648it [01:06, 5910.53it/s]
1439248it [01:06, 5927.28it/s]
1439914it [01:06, 6136.86it/s]
1440566it [01:06, 6242.46it/s]
1441225it [01:06, 6338.49it/s]
1441868it [01:06, 6364.94it/s]
1442570it [01:06, 6557.65it/s]
1443227it [01:06, 6406.84it/s]
1443950it [01:06, 6645.30it/s]
1444719it [01:06, 6952.15it/s]
1445586it [01:07, 7461.15it/s]
1446613it [01:07, 8294.04it/s]
1447649it [01:07, 8905.99it/s]
1448623it [01:07, 9150.81it/s]
1449540it [01:07, 9054.24it/s]
1450447it [01:07, 8547.85it/s]
1451309it [01:07, 8147.75it/s]
1452131it [01:07, 8005.20it/s]
1452937it [01:07, 7868.89it/s]
1453727it [01:08, 7802.70it/s]
1454531it [01:08, 7864.91it/s]
1455320it [01:08, 7777.20it/s]
1456099it [01:08, 7706.29it/s]
1456871it [01:08, 7652.76it/s]
1457655it [01:08, 7701.00it/s]
1458496it [01:08, 7909.50it/s]
1459288it [01:08, 7811.59it/s]
1460070it [01:08, 7693.78it/s]
1460841it [01:08, 7619.13it/s]
1461604it [01:09, 7567.86it/s]
1462362it [01:09, 7359.90it/s]
1463139it [01:09, 7469.92it/s]
1464091it [01:09, 8067.88it/s]
1465058it [01:09, 8539.70it/s]
1466003it [01:09, 8809.15it/s]
1466927it [01:09, 8936.63it/s]
1467851it [01:09, 9021.10it/s]
1468886it [01:09, 9417.49it/s]
1469829it [01:09, 9301.84it/s]
1470761it [01:10, 8971.44it/s]
1471662it [01:10, 8830.05it/s]
1472548it [01:10, 8618.46it/s]
1473412it [01:10, 8379.13it/s]
1474300it [01:10, 8518.44it/s]
1475198it [01:10, 8650.73it/s]
1476211it [01:10, 9074.78it/s]
1477390it [01:10, 9871.70it/s]
1478582it [01:10, 10477.58it/s]
1479920it [01:11, 11330.86it/s]
1481665it [01:11, 13133.63it/s]
1483510it [01:11, 14718.58it/s]
1485256it [01:11, 15531.81it/s]
1487364it [01:11, 17190.06it/s]
1490084it [01:11, 20179.17it/s]
1493163it [01:11, 23356.08it/s]
1496134it [01:11, 25257.29it/s]
1499175it [01:11, 26797.79it/s]
1502126it [01:11, 27593.19it/s]
1504936it [01:12, 27743.23it/s]
1507711it [01:12, 26845.41it/s]
1510403it [01:12, 26828.00it/s]
1513277it [01:12, 27391.27it/s]
1516411it [01:12, 28547.46it/s]
1519271it [01:12, 27669.01it/s]
1522047it [01:12, 26445.81it/s]
1524707it [01:12, 25998.84it/s]
1527317it [01:12, 25539.41it/s]
1529878it [01:12, 24809.24it/s]
1532366it [01:13, 24212.18it/s]
1535142it [01:13, 25216.02it/s]
1537864it [01:13, 25751.25it/s]
1540990it [01:13, 27347.11it/s]
1543992it [01:13, 28109.41it/s]
1546812it [01:13, 27090.99it/s]
1549535it [01:13, 24829.66it/s]
1552060it [01:13, 23370.95it/s]
1554435it [01:13, 22366.98it/s]
1556700it [01:14, 21795.44it/s]
1559220it [01:14, 22717.06it/s]
1561939it [01:14, 23939.84it/s]
1564529it [01:14, 24490.36it/s]
1566998it [01:14, 23431.05it/s]
1570162it [01:14, 25744.26it/s]
1572825it [01:14, 25985.40it/s]
1575445it [01:14, 24159.73it/s]
1578458it [01:14, 25820.44it/s]
1581875it [01:15, 28182.59it/s]
1585273it [01:15, 29856.95it/s]
1588294it [01:15, 27350.54it/s]
1591092it [01:15, 22561.70it/s]
1593988it [01:15, 24113.79it/s]
1596963it [01:15, 25570.39it/s]
1599768it [01:15, 26237.37it/s]
1602517it [01:15, 26584.86it/s]
1605759it [01:15, 28243.15it/s]
1608897it [01:16, 29139.61it/s]
1611857it [01:16, 28856.73it/s]
1615299it [01:16, 30458.74it/s]
1619362it [01:16, 33432.06it/s]
1622947it [01:16, 34142.90it/s]
1628057it [01:16, 39170.46it/s]
1631993it [01:16, 34735.40it/s]
1636588it [01:16, 37801.37it/s]
1640471it [01:16, 30157.88it/s]
1643791it [01:17, 26426.39it/s]
1646701it [01:17, 23295.99it/s]
1649250it [01:17, 21373.12it/s]
1651540it [01:17, 20809.40it/s]
1653717it [01:17, 20162.37it/s]
1655991it [01:17, 20781.25it/s]
1659531it [01:17, 24497.36it/s]
1662565it [01:18, 26058.21it/s]
1666856it [01:18, 30697.90it/s]
1670029it [01:18, 30584.77it/s]
1673159it [01:18, 23982.37it/s]
1675821it [01:18, 20852.65it/s]
1678141it [01:18, 18873.48it/s]
1680203it [01:18, 18602.24it/s]
1682180it [01:18, 18490.24it/s]
1684109it [01:19, 17948.08it/s]
1685955it [01:19, 17601.92it/s]
1687748it [01:19, 16912.36it/s]
1689460it [01:19, 15822.83it/s]
1691062it [01:19, 15797.89it/s]
1692780it [01:19, 16163.80it/s]
1694410it [01:19, 15707.06it/s]
1695990it [01:19, 15644.68it/s]
1697810it [01:19, 16366.54it/s]
1699456it [01:20, 16381.93it/s]
1701830it [01:20, 18516.90it/s]
1705412it [01:20, 23565.25it/s]
1710382it [01:20, 31247.85it/s]
1713529it [01:20, 27325.60it/s]
1716365it [01:20, 26526.20it/s]
1719090it [01:20, 25408.58it/s]
1721684it [01:20, 25508.90it/s]
1724332it [01:20, 25767.88it/s]
1726938it [01:21, 25728.84it/s]
1729607it [01:21, 25987.35it/s]
1732221it [01:21, 24576.46it/s]
1734703it [01:21, 24153.61it/s]
1737316it [01:21, 24712.06it/s]
1739802it [01:21, 24497.51it/s]
1742262it [01:21, 23237.84it/s]
1744603it [01:21, 22667.79it/s]
1747328it [01:21, 23954.72it/s]
1750153it [01:22, 25177.40it/s]
1752914it [01:22, 25883.58it/s]
1755517it [01:22, 25211.49it/s]
1758052it [01:22, 24376.97it/s]
1760503it [01:22, 23911.18it/s]
1762904it [01:22, 23875.70it/s]
1765298it [01:22, 23199.13it/s]
1767651it [01:22, 23270.06it/s]
1770016it [01:22, 23361.30it/s]
1772614it [01:22, 24126.98it/s]
1775302it [01:23, 24935.74it/s]
1778081it [01:23, 25781.34it/s]
1781088it [01:23, 27054.65it/s]
1784067it [01:23, 27844.27it/s]
1786855it [01:23, 26513.13it/s]
1789522it [01:23, 25461.46it/s]
1792085it [01:23, 25128.09it/s]
1794609it [01:23, 25061.73it/s]
1797348it [01:23, 25713.65it/s]
1800026it [01:23, 26018.54it/s]
1802988it [01:24, 27073.49it/s]
1805709it [01:24, 27112.68it/s]
1808501it [01:24, 27338.15it/s]
1811239it [01:24, 26735.15it/s]
1813918it [01:24, 25608.48it/s]
1816491it [01:24, 25224.45it/s]
1819022it [01:24, 25016.47it/s]
